Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
innesota North Stars*,80,39,31,10,88,0.55,345,344,-0.14,-0.15,,,,
St. Louis Blues*,80,32,41,7,71,0.444,293,316,-0.41,-0.12,,,,
Detroit Red Wings*,80,31,42,7,69,0.431,298,323,-0.43,-0.12,,,,
Chicago Black Hawks*,80,30,42,8,68,0.425,277,311,-0.54,-0.11,,,,
Toronto Maple Leafs,80,26,45,9,61,0.381,303,387,-1.1,-0.05,,,,
Edmonton Oilers*,80,57,18,5,119,0.744,446,314,1.51,-0.15,,,,
Calgary Flames*,80,34,32,14,82,0.513,311,314,-0.03,0.01,,,,
Vancouver Canucks*,80,32,39,9,73,0.456,306,328,-0.25,0.03,,,,
Winnipeg Jets*,80,31,38,11,73,0.456,340,374,-0.38,0.04,,,,
Los Angeles Kings,80,23,44,13,59,0.369,309,376,-0.76,0.08,,,,
Boston Bruins*,80,49,25,6,104,0.65,336,261,1.01,0.07,,,,
Buffalo Sabres*,80,48,25,7,103,0.644,315,257,0.82,0.09,,,,
Quebec Nordiques*,80,42,28,10,94,0.588,360,278,1.09,0.06,,,,
Montreal Canadiens*,80,35,40,5,75,0.469,286,295,0.06,0.17,,,,
Hartford Whalers,80,28,42,10,66,0.413,288,320,-0.21,0.19,,,,
New York Islanders*,80,50,26,4,104,0.65,357,269,1,-0.1,,,,
Washington Capitals*,80,48,27,5,101,0.631,308,226,0.93,-0.09,,,,
Philadelphia Flyers*,80,44,26,10,98,0.613,350,290,0.68,-0.07,,,,
New York Rangers*,80,42,29,9,93,0.581,314,304,0.1,-0.02,,,,
New Jersey Devils,80,17,56,7,41,0.256,231,350,-1.38,0.11,,,,
Pittsburgh Penguins,80,16,58,6,38,0.238,254,390,-1.57,0.13,,,,
