Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Detroit Red Wings*,80,43,25,12,98,0.613,320,256,0.74,-0.06,,,,
Chicago Blackhawks*,80,36,29,15,87,0.544,257,236,0.22,-0.04,,,,
St. Louis Blues*,80,36,33,11,83,0.519,279,266,0.16,-0.01,,,,
Minnesota North Stars*,80,32,42,6,70,0.438,246,278,-0.37,0.04,,,,
Toronto Maple Leafs,80,30,43,7,67,0.419,234,294,-0.68,0.07,,,,
Vancouver Canucks*,80,42,26,12,96,0.6,285,250,0.31,-0.13,,,,
Los Angeles Kings*,80,35,31,14,84,0.525,287,296,-0.19,-0.08,,,,
Edmonton Oilers*,80,36,34,10,82,0.513,295,297,-0.12,-0.1,,,,
Winnipeg Jets*,80,33,32,15,81,0.506,251,244,-0.02,-0.11,,,,
Calgary Flames,80,31,37,12,74,0.463,296,305,-0.19,-0.08,,,,
San Jose Sharks,80,17,58,5,39,0.244,219,359,-1.72,0.03,,,,
Montreal Canadiens*,80,41,28,11,93,0.581,267,207,0.64,-0.12,,,,
Boston Bruins*,80,36,32,12,84,0.525,270,275,-0.09,-0.03,,,,
Buffalo Sabres*,80,31,37,12,74,0.463,289,299,-0.16,-0.03,,,,
Hartford Whalers*,80,26,41,13,65,0.406,247,283,-0.45,0,,,,
Quebec Nordiques,80,20,48,12,52,0.325,255,318,-0.76,0.03,,,,
New York Rangers*,80,50,25,5,105,0.656,321,246,1.02,0.08,,,,
Washington Capitals*,80,45,27,8,98,0.613,330,275,0.78,0.09,,,,
Pittsburgh Penguins*,80,39,32,9,87,0.544,343,308,0.52,0.08,,,,
New Jersey Devils*,80,38,31,11,87,0.544,289,259,0.48,0.1,,,,
New York Islanders,80,34,35,11,79,0.494,291,299,0.04,0.14,,,,
Philadelphia Flyers,80,32,37,11,75,0.469,252,273,-0.13,0.13,,,,
