Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
New Jersey Devils*,82,48,27,7,103,0.628,222,191,0.31,-0.07,0.579,42,40-27-15,0.579
Pittsburgh Penguins*,82,47,28,7,101,0.616,257,237,0.17,-0.07,0.537,39,33-28-21,0.53
Philadelphia Flyers*,82,41,35,6,88,0.537,236,225,0.08,-0.06,0.494,37,35-35-12,0.5
New York Rangers,82,38,33,11,87,0.53,222,218,0,-0.05,0.47,35,34-33-15,0.506
New York Islanders,82,34,37,11,79,0.482,222,264,-0.53,-0.02,0.402,26,20-37-25,0.396
Buffalo Sabres*,82,45,27,10,100,0.61,235,207,0.26,-0.08,0.561,41,35-27-20,0.549
Ottawa Senators*,82,44,32,6,94,0.573,225,238,-0.22,-0.06,0.537,39,34-32-16,0.512
Boston Bruins*,82,39,30,13,91,0.555,206,200,0.01,-0.06,0.47,29,25-30-27,0.47
Montreal Canadiens*,82,39,33,10,88,0.537,217,223,-0.14,-0.07,0.463,32,24-33-25,0.445
Toronto Maple Leafs,82,30,38,14,74,0.451,214,267,-0.68,-0.03,0.366,26,21-38-23,0.396
Washington Capitals*,82,54,15,13,121,0.738,318,233,0.9,-0.14,0.665,49,43-15-24,0.671
Atlanta Thrashers,82,35,34,13,83,0.506,234,256,-0.33,-0.06,0.439,31,29-34-19,0.47
Carolina Hurricanes,82,35,37,10,80,0.488,230,256,-0.37,-0.05,0.433,31,26-37-19,0.433
Tampa Bay Lightning,82,34,36,12,80,0.488,217,260,-0.56,-0.03,0.433,30,25-36-21,0.433
Florida Panthers,82,32,37,13,77,0.47,208,244,-0.47,-0.03,0.415,26,24-37-21,0.421
Chicago Blackhawks*,82,52,22,8,112,0.683,271,209,0.77,0.02,0.616,43,37-22-23,0.591
Detroit Red Wings*,82,44,24,14,102,0.622,229,216,0.23,0.07,0.555,38,33-24-25,0.555
Nashville Predators*,82,47,29,6,100,0.61,225,225,0.06,0.06,0.549,39,33-29-20,0.524
St. Louis Blues,82,40,32,10,90,0.549,225,223,0.08,0.06,0.476,33,30-32-20,0.488
Columbus Blue Jackets,82,32,35,15,79,0.482,216,259,-0.42,0.11,0.439,30,27-35-20,0.451
Vancouver Canucks*,82,49,28,5,103,0.628,272,222,0.6,-0.01,0.598,45,41-28-13,0.579
Colorado Avalanche*,82,43,30,9,95,0.579,244,233,0.16,0.02,0.512,36,34-30-18,0.524
Calgary Flames,82,40,32,10,90,0.549,204,210,-0.03,0.04,0.512,37,35-32-15,0.518
Minnesota Wild,82,38,36,8,84,0.512,219,246,-0.26,0.07,0.476,33,28-36-18,0.451
Edmonton Oilers,82,27,47,8,62,0.378,214,284,-0.76,0.09,0.317,19,18-47-17,0.323
San Jose Sharks*,82,51,20,11,113,0.689,264,215,0.65,0.05,0.616,44,43-20-19,0.64
Phoenix Coyotes*,82,50,25,7,107,0.652,225,202,0.34,0.06,0.561,36,31-25-26,0.537
Los Angeles Kings*,82,46,27,9,101,0.616,241,219,0.32,0.05,0.549,36,32-27-23,0.53
Anaheim Ducks,82,39,32,11,89,0.543,238,251,-0.07,0.09,0.494,34,31-32-19,0.494
Dallas Stars,82,37,31,14,88,0.537,237,254,-0.12,0.09,0.47,30,28-31-23,0.48
