Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
New Jersey Devils*,82,48,19,15,111,0.677,295,195,1.1,-0.12,0.659,,,
Philadelphia Flyers*,82,43,25,14,100,0.61,240,207,0.33,-0.07,0.591,,,
Pittsburgh Penguins*,82,42,28,12,96,0.585,281,256,0.23,-0.07,0.567,,,
New York Rangers,82,33,43,6,72,0.439,250,290,-0.53,-0.04,0.433,,,
New York Islanders,82,21,51,10,52,0.317,185,268,-1.02,0,0.299,,,
Ottawa Senators*,82,48,21,13,109,0.665,274,205,0.74,-0.1,0.64,,,
Buffalo Sabres*,82,46,30,6,98,0.598,218,184,0.35,-0.07,0.591,,,
Toronto Maple Leafs*,82,37,29,16,90,0.549,232,207,0.25,-0.05,0.518,,,
Boston Bruins,82,36,30,16,88,0.537,227,249,-0.27,0,0.488,,,
Montreal Canadiens,82,28,40,14,70,0.427,206,232,-0.35,-0.03,0.39,,,
Washington Capitals*,82,41,27,14,96,0.585,233,211,0.16,-0.1,0.561,,,
Carolina Hurricanes*,82,38,32,12,88,0.537,212,225,-0.24,-0.08,0.518,,,
Florida Panthers,82,22,38,22,66,0.402,200,246,-0.6,-0.04,0.348,,,
Atlanta Thrashers,82,23,45,14,60,0.366,211,289,-0.99,-0.04,0.354,,,
Tampa Bay Lightning,82,24,47,11,59,0.36,201,280,-0.98,-0.01,0.329,,,
Detroit Red Wings*,82,49,20,13,111,0.677,253,202,0.63,0.01,0.652,,,
St. Louis Blues*,82,43,22,17,103,0.628,249,195,0.67,0.01,0.598,,,
Nashville Predators,82,34,36,12,80,0.488,186,200,-0.11,0.06,0.47,,,
Chicago Blackhawks,82,29,40,13,71,0.433,210,246,-0.36,0.08,0.402,,,
Columbus Blue Jackets,82,28,39,15,71,0.433,190,233,-0.44,0.08,0.396,,,
Colorado Avalanche*,82,52,16,14,118,0.72,270,192,0.95,0,0.695,,,
Edmonton Oilers*,82,39,28,15,93,0.567,243,222,0.32,0.07,0.549,,,
Vancouver Canucks*,82,36,28,18,90,0.549,239,238,0.08,0.07,0.506,,,
Calgary Flames,82,27,36,19,73,0.445,197,236,-0.37,0.11,0.421,,,
Minnesota Wild,82,25,39,18,68,0.415,168,210,-0.42,0.09,0.384,,,
Dallas Stars*,82,48,24,10,106,0.646,241,187,0.68,0.02,0.634,,,
San Jose Sharks*,82,40,27,15,95,0.579,217,192,0.36,0.06,0.561,,,
Los Angeles Kings*,82,38,28,16,92,0.561,252,228,0.32,0.03,0.543,,,
Phoenix Coyotes,82,35,27,20,90,0.549,214,212,0.07,0.05,0.53,,,
Mighty Ducks of Anaheim,82,25,41,16,66,0.402,188,245,-0.6,0.1,0.372,,,
