Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Chicago Blackhawks*,48,36,7,5,77,0.802,155,102,1.04,-0.07,0.74,30,25-7-16,0.688
Pittsburgh Penguins*,48,36,12,0,72,0.75,165,119,0.91,-0.05,0.719,33,31-12-5,0.698
Anaheim Ducks*,48,30,12,6,66,0.688,140,118,0.43,-0.02,0.594,24,23-12-13,0.615
Montreal Canadiens*,48,29,14,5,63,0.656,149,126,0.46,-0.02,0.594,26,24-14-10,0.604
Boston Bruins*,48,28,14,6,62,0.646,131,109,0.44,-0.02,0.573,24,23-14-11,0.594
St. Louis Blues*,48,29,17,2,60,0.625,129,115,0.31,0.02,0.563,24,20-17-11,0.531
Vancouver Canucks*,48,26,15,7,59,0.615,127,121,0.07,-0.06,0.552,21,20-15-13,0.552
Los Angeles Kings*,48,27,16,5,59,0.615,133,118,0.29,-0.02,0.583,25,24-16-8,0.583
Toronto Maple Leafs*,48,26,17,5,57,0.594,145,133,0.27,0.02,0.594,26,24-17-7,0.573
Washington Capitals*,48,27,18,3,57,0.594,149,130,0.31,-0.09,0.531,24,20-18-10,0.521
San Jose Sharks*,48,25,16,7,57,0.594,124,116,0.17,0.01,0.479,17,17-16-15,0.51
New York Rangers*,48,26,18,4,56,0.583,130,112,0.38,0,0.542,22,18-18-12,0.5
Ottawa Senators*,48,25,17,6,56,0.583,116,104,0.27,0.02,0.521,21,19-17-12,0.521
Detroit Red Wings*,48,24,16,8,56,0.583,124,115,0.2,0.01,0.531,22,20-16-12,0.542
New York Islanders*,48,24,17,7,55,0.573,139,139,0.03,0.03,0.49,20,18-17-13,0.51
Columbus Blue Jackets,48,24,17,7,55,0.573,120,119,0.03,0.01,0.49,19,14-17-17,0.469
Minnesota Wild*,48,26,19,3,55,0.573,122,127,-0.16,-0.05,0.521,22,19-19-10,0.5
Winnipeg Jets,48,24,21,3,51,0.531,128,144,-0.36,-0.03,0.51,22,18-21-9,0.469
Phoenix Coyotes,48,21,18,9,51,0.531,125,131,-0.1,0.03,0.458,17,16-18-14,0.479
Philadelphia Flyers,48,23,22,3,49,0.51,133,141,-0.14,0.03,0.49,22,20-22-6,0.479
New Jersey Devils,48,19,19,10,48,0.5,112,129,-0.31,0.04,0.448,17,16-19-13,0.469
Buffalo Sabres,48,21,21,6,48,0.5,125,143,-0.31,0.07,0.406,14,13-21-14,0.417
Dallas Stars,48,22,22,4,48,0.5,130,142,-0.21,0.05,0.448,20,18-22-8,0.458
Edmonton Oilers,48,19,22,7,45,0.469,125,134,-0.22,-0.03,0.406,17,15-22-11,0.427
Carolina Hurricanes,48,19,25,4,42,0.438,128,160,-0.65,0.02,0.396,18,17-25-6,0.417
Calgary Flames,48,19,25,4,42,0.438,128,160,-0.65,0.02,0.427,19,17-25-6,0.417
Nashville Predators,48,16,23,9,41,0.427,111,139,-0.5,0.09,0.375,14,11-23-14,0.375
Tampa Bay Lightning,48,18,26,4,40,0.417,148,150,-0.11,-0.07,0.396,17,16-26-6,0.396
Colorado Avalanche,48,16,25,7,39,0.406,116,152,-0.73,0.02,0.333,14,11-25-12,0.354
Florida Panthers,48,15,27,6,36,0.375,112,171,-1.18,0.05,0.292,12,11-27-10,0.333
