Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
New York Rangers*,82,51,24,7,109,0.665,226,187,0.46,-0.02,0.628,47,39-24-19,0.591
Pittsburgh Penguins*,82,51,25,6,108,0.659,282,221,0.71,-0.03,0.585,42,40-25-17,0.591
Philadelphia Flyers*,82,47,26,9,103,0.628,264,232,0.39,0,0.591,43,37-26-19,0.567
New Jersey Devils*,82,48,28,6,102,0.622,228,209,0.23,0,0.537,36,32-28-22,0.524
New York Islanders,82,34,37,11,79,0.482,203,255,-0.58,0.05,0.396,27,24-37-21,0.421
Boston Bruins*,82,49,29,4,102,0.622,269,202,0.75,-0.07,0.561,40,38-29-15,0.555
Ottawa Senators*,82,41,31,10,92,0.561,249,240,0.09,-0.02,0.488,35,30-31-21,0.494
Buffalo Sabres,82,39,32,11,89,0.543,218,230,-0.15,0,0.476,32,27-32-23,0.47
Toronto Maple Leafs,82,35,37,10,80,0.488,231,264,-0.38,0.02,0.433,31,26-37-19,0.433
Montreal Canadiens,82,31,35,16,78,0.476,212,226,-0.17,0,0.421,26,24-35-23,0.433
Florida Panthers*,82,38,26,18,94,0.573,203,227,-0.33,-0.03,0.494,32,31-26-25,0.53
Washington Capitals*,82,42,32,8,92,0.561,222,230,-0.13,-0.03,0.512,38,31-32-19,0.494
Tampa Bay Lightning,82,38,36,8,84,0.512,235,281,-0.57,-0.01,0.463,35,25-36-21,0.433
Winnipeg Jets,82,37,35,10,84,0.512,225,246,-0.3,-0.04,0.451,33,27-35-20,0.451
Carolina Hurricanes,82,33,33,16,82,0.5,213,243,-0.39,-0.02,0.433,32,29-33-20,0.476
St. Louis Blues*,82,49,22,11,109,0.665,210,165,0.54,-0.01,0.634,45,42-22-18,0.622
Nashville Predators*,82,48,26,8,104,0.634,237,210,0.34,0.01,0.585,43,40-26-16,0.585
Detroit Red Wings*,82,48,28,6,102,0.622,248,203,0.55,0,0.549,39,36-28-18,0.549
Chicago Blackhawks*,82,45,26,11,101,0.616,248,238,0.14,0.02,0.549,38,34-26-22,0.549
Columbus Blue Jackets,82,29,46,7,65,0.396,202,262,-0.65,0.08,0.36,25,23-46-13,0.36
Vancouver Canucks*,82,51,22,9,111,0.677,249,198,0.57,-0.05,0.616,43,36-22-24,0.585
Calgary Flames,82,37,29,16,90,0.549,202,226,-0.28,0.01,0.488,34,32-29-21,0.518
Colorado Avalanche,82,41,35,6,88,0.537,208,220,-0.13,0.01,0.457,32,25-35-22,0.439
Minnesota Wild,82,35,36,11,81,0.494,177,226,-0.58,0.02,0.415,24,22-36-24,0.415
Edmonton Oilers,82,32,40,10,74,0.451,212,239,-0.32,0.01,0.402,27,25-40-17,0.409
Phoenix Coyotes*,82,42,27,13,97,0.591,216,204,0.16,0.01,0.537,36,33-27-22,0.537
San Jose Sharks*,82,43,29,10,96,0.585,228,210,0.22,0,0.5,34,31-29-22,0.512
Los Angeles Kings*,82,40,27,15,95,0.579,194,179,0.19,0.01,0.506,34,31-27-24,0.524
Dallas Stars,82,42,35,5,89,0.543,211,222,-0.1,0.03,0.494,35,31-35-16,0.476
Anaheim Ducks,82,34,36,12,80,0.488,204,231,-0.29,0.04,0.439,31,29-36-17,0.457
