Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Philadelphia Flyers*,82,45,22,15,105,0.64,237,179,0.58,-0.13,0.622,,,
New Jersey Devils*,82,45,24,13,103,0.628,251,203,0.46,-0.13,0.598,,,
Pittsburgh Penguins*,82,37,31,14,88,0.537,241,236,-0.03,-0.09,0.5,,,
New York Rangers,82,29,38,15,73,0.445,218,246,-0.39,-0.05,0.427,,,
New York Islanders,82,24,48,10,58,0.354,194,275,-1.02,-0.03,0.348,,,
Toronto Maple Leafs*,82,45,27,10,100,0.61,246,222,0.25,-0.05,0.591,,,
Ottawa Senators*,82,41,28,13,95,0.579,244,210,0.3,-0.12,0.567,,,
Buffalo Sabres*,82,35,32,15,85,0.518,213,204,0.01,-0.1,0.494,,,
Montreal Canadiens,82,35,34,13,83,0.506,196,194,-0.06,-0.09,0.482,,,
Boston Bruins,82,24,33,25,73,0.445,210,248,-0.52,-0.06,0.409,,,
Washington Capitals*,82,44,24,14,102,0.622,227,194,0.28,-0.13,0.61,,,
Florida Panthers*,82,43,27,12,98,0.598,244,209,0.28,-0.15,0.561,,,
Carolina Hurricanes,82,37,35,10,84,0.512,217,216,-0.1,-0.11,0.512,,,
Tampa Bay Lightning,82,19,47,16,54,0.329,204,310,-1.34,-0.05,0.287,,,
Atlanta Thrashers,82,14,57,11,39,0.238,170,313,-1.75,0,0.213,,,
St. Louis Blues*,82,51,19,12,114,0.695,248,165,1.08,0.07,0.689,,,
Detroit Red Wings*,82,48,22,12,108,0.659,278,210,0.88,0.05,0.646,,,
Chicago Blackhawks,82,33,37,12,78,0.476,242,245,0.1,0.13,0.463,,,
Nashville Predators,82,28,40,14,70,0.427,199,240,-0.36,0.14,0.384,,,
Colorado Avalanche*,82,42,28,12,96,0.585,233,201,0.46,0.07,0.579,,,
Edmonton Oilers*,82,32,26,24,88,0.537,226,212,0.22,0.05,0.488,,,
Vancouver Canucks,82,30,29,23,83,0.506,227,237,-0.01,0.11,0.457,,,
Calgary Flames,82,31,36,15,77,0.47,211,256,-0.42,0.13,0.439,,,
Dallas Stars*,82,43,23,16,102,0.622,211,184,0.41,0.08,0.585,,,
Los Angeles Kings*,82,39,27,16,94,0.573,245,228,0.3,0.09,0.549,,,
Phoenix Coyotes*,82,39,31,12,90,0.549,232,228,0.15,0.1,0.524,,,
San Jose Sharks*,82,35,30,17,87,0.53,225,214,0.23,0.1,0.488,,,
Mighty Ducks of Anaheim,82,34,33,15,83,0.506,217,227,0.02,0.14,0.488,,,
