Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
New Jersey Devils*,82,48,23,11,107,0.652,225,166,0.66,-0.06,,,,
Philadelphia Flyers*,82,42,29,11,95,0.579,242,193,0.53,-0.07,,,,
Washington Capitals*,82,40,30,12,92,0.561,219,202,0.17,-0.04,,,,
New York Islanders,82,30,41,11,71,0.433,212,225,-0.15,0,,,,
New York Rangers,82,25,39,18,68,0.415,197,231,-0.41,0,,,,
Florida Panthers,82,24,43,15,63,0.384,203,256,-0.62,0.03,,,,
Tampa Bay Lightning,82,17,55,10,44,0.268,151,269,-1.37,0.07,,,,
Pittsburgh Penguins*,82,40,24,18,98,0.598,228,188,0.48,-0.01,,,,
Boston Bruins*,82,39,30,13,91,0.555,221,194,0.33,0,,,,
Buffalo Sabres*,82,36,29,17,89,0.543,211,187,0.29,0,,,,
Montreal Canadiens*,82,37,32,13,87,0.53,235,208,0.33,0,,,,
Ottawa Senators*,82,34,33,15,83,0.506,193,200,-0.06,0.02,,,,
Carolina Hurricanes,82,33,41,8,74,0.451,200,219,-0.2,0.04,,,,
Dallas Stars*,82,49,22,11,109,0.665,242,167,0.88,-0.03,,,,
Detroit Red Wings*,82,44,23,15,103,0.628,250,196,0.64,-0.02,,,,
St. Louis Blues*,82,45,29,8,98,0.598,256,204,0.63,0,,,,
Phoenix Coyotes*,82,35,35,12,82,0.5,224,227,0,0.04,,,,
Chicago Blackhawks,82,30,39,13,73,0.445,192,199,-0.06,0.03,,,,
Toronto Maple Leafs,82,30,43,9,69,0.421,194,237,-0.46,0.07,,,,
Colorado Avalanche*,82,39,26,17,95,0.579,231,205,0.27,-0.05,,,,
Los Angeles Kings*,82,38,33,11,87,0.53,227,225,-0.01,-0.03,,,,
Edmonton Oilers*,82,35,37,10,80,0.488,215,224,-0.13,-0.02,,,,
San Jose Sharks*,82,34,38,10,78,0.476,210,216,-0.1,-0.03,,,,
Calgary Flames,82,26,41,15,67,0.409,217,252,-0.42,0.01,,,,
Mighty Ducks of Anaheim,82,26,43,13,65,0.396,205,261,-0.66,0.02,,,,
Vancouver Canucks,82,25,43,14,64,0.39,224,273,-0.58,0.02,,,,
