Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Chicago Black Hawks*,80,47,23,10,104,0.65,338,268,0.75,-0.12,,,,
Minnesota North Stars*,80,40,24,16,96,0.6,321,290,0.31,-0.08,,,,
Toronto Maple Leafs*,80,28,40,12,68,0.425,293,330,-0.46,0,,,,
St. Louis Blues*,80,25,40,15,65,0.406,285,316,-0.4,-0.01,,,,
Detroit Red Wings,80,21,44,15,57,0.356,263,344,-0.96,0.05,,,,
Edmonton Oilers*,80,47,21,12,106,0.663,424,315,1.26,-0.1,,,,
Calgary Flames*,80,32,34,14,78,0.488,321,317,0.07,0.02,,,,
Vancouver Canucks*,80,30,35,15,75,0.469,303,309,-0.04,0.03,,,,
Winnipeg Jets*,80,33,39,8,74,0.463,311,333,-0.23,0.05,,,,
Los Angeles Kings,80,27,41,12,66,0.413,308,365,-0.62,0.09,,,,
Boston Bruins*,80,50,20,10,110,0.688,327,228,1.18,-0.06,,,,
Montreal Canadiens*,80,42,24,14,98,0.613,350,286,0.78,-0.02,,,,
Buffalo Sabres*,80,38,29,13,89,0.556,318,285,0.43,0.02,,,,
Quebec Nordiques*,80,34,34,12,80,0.5,343,336,0.14,0.05,,,,
Hartford Whalers,80,19,54,7,45,0.281,261,403,-1.56,0.22,,,,
Philadelphia Flyers*,80,49,23,8,106,0.663,326,240,0.96,-0.12,,,,
New York Islanders*,80,42,26,12,96,0.6,302,226,0.84,-0.11,,,,
Washington Capitals*,80,39,25,16,94,0.588,306,283,0.23,-0.05,,,,
New York Rangers*,80,35,35,10,80,0.5,306,287,0.19,-0.05,,,,
New Jersey Devils,80,17,49,14,48,0.3,230,338,-1.27,0.08,,,,
Pittsburgh Penguins,80,18,53,9,45,0.281,257,394,-1.61,0.11,,,,
