Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Boston Bruins*,82,54,19,9,117,0.713,261,177,0.92,-0.11,0.677,51,47-19-16,0.671
Tampa Bay Lightning*,82,46,27,9,101,0.616,240,215,0.25,-0.06,0.549,38,32-27-23,0.53
Montreal Canadiens*,82,46,28,8,100,0.61,215,204,0.08,-0.05,0.543,40,33-28-21,0.53
Detroit Red Wings*,82,39,28,15,93,0.567,222,230,-0.14,-0.04,0.5,34,30-28-24,0.512
Ottawa Senators,82,37,31,14,88,0.537,236,265,-0.37,-0.02,0.451,30,27-31-24,0.476
Toronto Maple Leafs,82,38,36,8,84,0.512,231,256,-0.34,-0.04,0.433,29,24-36-22,0.427
Florida Panthers,82,29,45,8,66,0.402,196,268,-0.87,0.01,0.341,21,21-45-16,0.354
Buffalo Sabres,82,21,51,10,52,0.317,157,248,-1.09,0.02,0.244,14,11-51-20,0.256
Pittsburgh Penguins*,82,51,24,7,109,0.665,249,207,0.47,-0.04,0.598,44,40-24-18,0.598
New York Rangers*,82,45,31,6,96,0.585,218,193,0.26,-0.04,0.543,41,39-31-12,0.549
Philadelphia Flyers*,82,42,30,10,94,0.573,236,235,-0.01,-0.02,0.543,39,35-30-17,0.53
Columbus Blue Jackets*,82,43,32,7,93,0.567,231,216,0.16,-0.03,0.506,38,35-32-15,0.518
Washington Capitals,82,38,30,14,90,0.549,235,240,-0.08,-0.02,0.47,28,24-30-28,0.463
New Jersey Devils,82,35,29,18,88,0.537,197,208,-0.15,-0.02,0.506,35,26-29-27,0.482
Carolina Hurricanes,82,36,35,11,83,0.506,207,230,-0.29,-0.01,0.451,34,30-35-17,0.47
New York Islanders,82,34,37,11,79,0.482,225,267,-0.51,0,0.396,25,21-37-24,0.402
Colorado Avalanche*,82,52,22,8,112,0.683,250,220,0.4,0.04,0.628,47,37-22-23,0.591
St. Louis Blues*,82,52,23,7,111,0.677,248,191,0.71,0.01,0.598,43,40-23-19,0.604
Chicago Blackhawks*,82,46,21,15,107,0.652,267,220,0.6,0.02,0.573,40,39-21-22,0.61
Minnesota Wild*,82,43,27,12,98,0.598,207,206,0.07,0.05,0.524,35,32-27-23,0.53
Dallas Stars*,82,40,31,11,91,0.555,235,228,0.14,0.05,0.494,36,34-31-17,0.518
Nashville Predators,82,38,32,12,88,0.537,216,242,-0.25,0.07,0.506,36,33-32-17,0.506
Winnipeg Jets,82,37,35,10,84,0.512,227,237,-0.07,0.06,0.439,29,24-35-23,0.433
Anaheim Ducks*,82,54,20,8,116,0.707,266,209,0.68,-0.01,0.677,51,44-20-18,0.646
San Jose Sharks*,82,51,22,9,111,0.677,249,200,0.6,0,0.604,41,37-22-23,0.591
Los Angeles Kings*,82,46,28,8,100,0.61,206,174,0.4,0.01,0.549,38,34-28-20,0.537
Phoenix Coyotes,82,37,30,15,89,0.543,216,231,-0.16,0.03,0.457,31,28-30-24,0.488
Vancouver Canucks,82,36,35,11,83,0.506,196,223,-0.3,0.03,0.451,31,25-35-22,0.439
Calgary Flames,82,35,40,7,77,0.47,209,241,-0.35,0.04,0.402,28,21-40-21,0.384
Edmonton Oilers,82,29,44,9,67,0.409,203,270,-0.75,0.07,0.348,25,20-44-18,0.354
